Rk,Western Conference,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Golden State Warriors,62,14980,2733,5591,.489,806,2121,.380,1927,3470,.555,1079,1332,.810,621,2251,2872,1810,462,404,835,1330,7351
2,Milwaukee Bucks,61,14715,2650,5530,.479,811,2310,.351,1839,3220,.571,1049,1362,.770,552,2437,2989,1603,462,370,820,1208,7160
3,New Orleans Pelicans,63,15120,2737,5743,.477,626,1828,.342,2111,3915,.539,1189,1548,.768,697,2273,2970,1696,461,357,881,1355,7289
4,Oklahoma City Thunder,61,14765,2633,5720,.460,669,1913,.350,1964,3807,.516,1124,1566,.718,744,2181,2925,1439,615,319,843,1379,7059
5,Philadelphia 76ers,62,15005,2570,5423,.474,691,1918,.360,1879,3505,.536,1332,1727,.771,647,2263,2910,1696,472,340,933,1349,7163
6,Toronto Raptors,62,15005,2611,5571,.469,723,2060,.351,1888,3511,.538,1136,1414,.803,633,2168,2801,1542,522,322,804,1325,7081
7,Washington Wizards,61,14840,2572,5476,.470,707,2046,.346,1865,3430,.544,1103,1445,.763,553,1950,2503,1627,533,291,847,1306,6954
8,Sacramento Kings,61,14690,2631,5679,.463,689,1833,.376,1942,3846,.505,1000,1396,.716,671,2097,2768,1559,517,285,824,1341,6951
9,Los Angeles Clippers,63,15245,2569,5490,.468,600,1582,.379,1969,3908,.504,1437,1807,.795,599,2238,2837,1465,422,305,879,1469,7175
10,Portland Trail Blazers,61,14740,2556,5502,.465,672,1867,.360,1884,3635,.518,1138,1392,.818,698,2220,2918,1390,409,309,819,1249,6922
11,Houston Rockets,62,15005,2412,5395,.447,964,2776,.347,1448,2619,.553,1243,1571,.791,652,1919,2571,1296,526,326,809,1404,7031
12,Los Angeles Lakers,61,14740,2613,5508,.474,625,1847,.338,1988,3661,.543,1003,1457,.688,612,2240,2852,1539,458,333,946,1269,6854
13,Minnesota Timberwolves,62,14980,2564,5653,.454,623,1771,.352,1941,3882,.500,1219,1548,.787,727,2077,2804,1518,533,326,787,1269,6970
14,Denver Nuggets,61,14690,2588,5508,.470,672,1890,.356,1916,3618,.530,997,1326,.752,750,2111,2861,1687,477,275,798,1246,6845
15,Boston Celtics,62,14980,2598,5616,.463,796,2174,.366,1802,3442,.524,962,1185,.812,628,2157,2785,1621,541,353,784,1268,6954
16,Brooklyn Nets,63,15370,2531,5623,.450,791,2229,.355,1740,3394,.513,1206,1602,.753,695,2205,2900,1510,412,265,912,1370,7059
17,San Antonio Spurs,63,15220,2651,5561,.477,631,1570,.402,2020,3991,.506,1120,1358,.825,587,2213,2800,1541,383,285,763,1157,7053
18,Atlanta Hawks,62,14930,2517,5563,.452,762,2173,.351,1755,3390,.518,1104,1466,.753,711,2100,2811,1575,505,321,1091,1462,6900
19,Charlotte Hornets,61,14765,2464,5479,.450,712,2042,.349,1752,3437,.510,1135,1436,.790,614,2099,2713,1412,440,316,735,1174,6775
20,Utah Jazz,61,14690,2414,5236,.461,718,2062,.348,1696,3174,.534,1172,1593,.736,600,2194,2794,1533,500,351,904,1288,6718
21,Dallas Mavericks,61,14690,2352,5245,.448,753,2174,.346,1599,3071,.521,1174,1580,.743,620,2148,2768,1389,426,264,889,1220,6631
22,Indiana Pacers,63,15145,2631,5491,.479,608,1611,.377,2023,3880,.521,978,1291,.758,585,2133,2718,1648,562,317,851,1228,6848
23,Detroit Pistons,60,14550,2330,5315,.438,712,2076,.343,1618,3239,.500,1045,1407,.743,675,2044,2719,1339,415,229,816,1344,6417
24,Phoenix Suns,62,15030,2473,5413,.457,599,1826,.328,1874,3587,.522,1039,1339,.776,560,1924,2484,1486,559,305,955,1481,6584
25,Orlando Magic,63,15195,2514,5574,.451,706,1997,.354,1808,3577,.505,937,1202,.780,598,2219,2817,1576,407,359,816,1197,6671
26,New York Knicks,62,14980,2408,5569,.432,617,1823,.338,1791,3746,.478,1135,1492,.761,681,2078,2759,1238,450,296,804,1334,6568
27,Miami Heat,61,14665,2402,5348,.449,704,1996,.353,1698,3352,.507,938,1355,.692,697,2116,2813,1456,458,337,886,1294,6446
28,Chicago Bulls,62,14980,2429,5373,.452,587,1653,.355,1842,3720,.495,990,1245,.795,504,2110,2614,1371,466,276,852,1278,6435
29,Cleveland Cavaliers,62,14955,2396,5420,.442,618,1733,.357,1778,3687,.482,1020,1295,.788,677,1986,2663,1303,408,159,793,1272,6430
30,Memphis Grizzlies,63,15245,2357,5259,.448,581,1741,.334,1776,3518,.505,1070,1400,.764,535,2037,2572,1477,534,357,835,1400,6365
